Timestamp,Email Address,Date,ID_yyyymmdd,Alexandrium_spp,Alexandrium_spp_life_stage_unknown,Dinophysis_spp,Pseudo_nitzschia_spp,Actinoptychus_spp,Asterionellopsis_spp,Asteromphalus_spp,Bacillaria_spp,Ceratium_furca,Ceratium_fusus,Ceratium_longipes,Chaetoceros_spp,Coscinodiscus_spp,Dictyocha_spp,Ditylum_spp,Eucampia_spp,Fragilariopsis_spp,Guinardia_spp,Leptocylindrus_spp,Licmophora_spp,Melosira_spp,Navicula_spp,Noctiluca_scintillans,Odontella_spp,Pleurosigma_spp,Prorocentrum_spp,Protoperidinium_spp,Rhizosolenia_spp,Skeletonema_spp,Stephanopyxis_spp,Striatella_spp,Thalassionema_spp,Thalassiosira_spp,Tintinnid,Zoea_Copepod_Nauplii ,Akashiwo_spp,Amylax_spp,Cochlodinium_spp,Fragilidium_spp,Gonyaulax_spp,Gymnodinium_spp,Gyrodinium_spp,Heterocapsa_spp,Oxytoxum_spp,Peridinium_spp,Protoceratium_spp,Pyrocystis_spp,Pyrodinium_spp,Scrippsiella_spp,Achnanthes_spp,Bacteriastrum_spp,Bacterosira_spp,Cerataulina_spp,Corethron_spp,Cylindrotheca_spp,Dactyliosolen_spp,Entomoneis_spp,Hemiaulus_spp,Lauderia_spp,Planktoniella_sol,Ciliates,Meringosphaera_spp,Phaeocystis_spp,Raphidophyte,Notes,HAB_Sum,Diatom_Sum,Dino_Sum,OtherPhyto_Sum,Zooplankton_Sum,Biomass
NA,juliana.cornett@noaa.gov,9/19/2022,20220919,300,0,0,400,0,0,0,0,0,0,0,1200,0,400,0,0,100,0,400,300,0,800,0,0,0,2800,400,400,400,0,0,0,0,800,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,NA,700,4000,13100,400,2400,19900
NA,juliana.cornett@noaa.gov,9/27/2022,20220927,100,0,800,2400,2000,0,0,0,0,0,1200,24000,400,0,0,0,0,0,800,800,0,2800,0,0,400,3200,400,0,2000,0,0,800,4800,2400,0,0,0,2000,0,0,0,0,800,0,0,1600,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Protoceratium,3300,41200,12100,0,2400,55700
NA,juliana.cornett@noaa.gov,10/3/2022,20221003,0,0,400,0,1200,0,0,0,0,0,100,1600,0,800,0,0,0,0,0,0,0,1200,0,0,800,2400,200,400,400,0,0,0,800,800,400,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,NA,400,6400,4700,800,2000,13900
12/8/2022 15:34:49,juliana.cornett@noaa.gov,12/5/2022,20221205,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,800,1200,400,0,0,1600
1/20/2023 11:28:00,juliana.cornett@noaa.gov,1/18/2023,20230118,0,0,0,1000,500,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,500,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1000,5000,0,0,0,5000
2/13/2023 14:48:08,juliana.cornett@noaa.gov,2/10/2023,20230210,100,0,0,500,2000,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,0,0,100,500,0,0,500,100,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,600,5200,600,0,0,5800
3/31/2023 15:18:21,juliana.cornett@noaa.gov,3/30/2023,20230330,0,0,0,1000,2500,0,0,0,0,0,0,500,0,100,0,0,0,0,100,0,500,1000,500,0,0,0,0,500,1000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,100,0,0,0,0,1500,0,0,0,NA,1000,13500,500,100,1500,15600
5/5/2023 14:27:16,juliana.cornett@noaa.gov,5/4/2023,20230504,0,0,0,1000,2000,0,0,0,0,0,0,54500,500,0,0,0,0,500,3500,500,0,1000,500,0,0,1000,2500,0,46000,0,0,0,31500,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1000,141000,4000,0,3000,148000
5/10/2023 15:57:36,juliana.cornett@noaa.gov,5/9/2023,20230509,0,0,0,5500,1000,0,0,0,0,0,0,104500,2000,0,0,0,0,100,1500,0,0,1000,0,0,0,0,500,0,79500,500,1000,0,51500,1500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,NA,5500,248600,1000,0,3600,253200
5/17/2023 14:26:26,juliana.cornett@noaa.gov,5/15/2023,20230515,0,0,0,9500,1500,0,0,0,0,0,500,196500,100,0,0,0,0,1000,1500,0,0,1500,2000,0,0,500,500,0,0,0,0,0,38500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,2500,0,4500,0,NA,9500,250100,4500,4500,4000,263100
5/25/2023 15:49:51,juliana.cornett@noaa.gov,5/23/2023,20230523,200,0,0,42000,1000,0,0,0,0,0,500,184000,0,0,0,0,0,500,1500,0,0,500,500,0,0,0,1000,300,482000,100,0,0,5500,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,100,0,500,0,500,0,0,0,2000,0,0,0,NA,42200,718500,3700,0,4000,726200
6/14/2023 8:49:50,juliana.cornett@noaa.gov,6/6/2023,20230606,500,0,0,1000,0,0,0,0,0,0,1000,4500,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,116000,0,0,0,5500,2500,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,NA,1500,129000,5000,2000,3700,139700
6/15/2023 10:04:46,juliana.cornett@noaa.gov,6/8/2023,20230608,0,0,0,2500,0,0,0,0,0,0,0,21000,0,500,0,0,0,0,0,0,0,500,0,0,0,0,500,0,202000,0,0,100,12500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,NA,2500,238600,500,500,2000,241600
6/15/2023 12:52:55,juliana.cornett@noaa.gov,6/13/2023,20230613,100,0,0,9000,0,0,0,0,0,100,200,22000,0,0,0,0,0,0,80500,500,0,0,500,0,0,0,2000,0,283500,0,0,0,15000,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9100,410500,2900,0,1000,414400
6/26/2023 16:09:21,juliana.cornett@noaa.gov,6/20/2023,20230620,800,0,0,7600,0,0,0,0,0,0,100,36400,0,100,0,800,0,3200,453200,100,0,1200,0,0,0,0,400,0,19600,0,0,4800,2400,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,NA,8400,532500,1500,100,100,534200
6/30/2023 9:41:46,kate.laboda@noaa.gov,6/26/2023,20230626,300,0,2500,2500,0,0,0,0,0,0,3000,112000,2000,1000,0,0,0,2500,49500,1500,0,2000,0,0,1500,0,3000,0,9000,0,500,60000,1000,500,1000,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,NA,5300,248000,9300,1000,1500,259800
7/6/2023 15:05:59,kate.laboda@noaa.gov,7/5/2023,20230705,1400,0,400,100,0,0,0,0,0,100,0,0,400,100,0,0,0,400,3200,0,100,3200,0,0,0,0,1600,0,9600,0,400,6800,200,2800,200,0,0,0,0,0,0,0,1200,0,0,0,0,0,4400,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,NA,1900,24500,9100,100,3000,36700
7/12/2023 15:47:47,kate.laboda@noaa.gov,7/11/2023,20230711,200,0,300,4400,0,0,0,0,0,400,1200,17600,400,400,400,0,0,0,13600,0,0,4800,0,0,400,0,500,0,53600,0,0,118800,5600,1600,400,0,0,0,0,0,0,0,300,0,0,0,0,0,400,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,NA,4900,220000,3300,400,2000,225700
7/19/2023 16:18:04,kate.laboda@noaa.gov,7/18/2023,20230718,200,0,200,23600,0,0,0,0,0,200,4400,70000,0,3200,800,0,0,7200,0,1200,0,4000,0,0,0,0,2000,0,100000,0,0,59200,5200,4800,0,0,0,0,0,0,0,0,800,0,0,0,0,0,200,0,0,0,12200,0,2800,0,0,0,0,0,0,0,0,0,NA,24000,286200,8000,3200,4800,302200
